2dmatpedia id,"2dmatpedia band structure (BG, VBM, CBM)","preds band structure (BG, Direc BG, VBM, CBM)"
2dm-493,"[0.0, nan, nan]","[0.01305246353149414, 0.008811235427856445, -4.698258399963379, -4.6484375]"
2dm-494,"[3.9449005126953125, -7.827099800109863, -3.882200002670288]","[5.910501480102539, 5.846617698669434, -10.493904113769531, -4.5707268714904785]"
2dm-495,"[1.9424999952316284, -3.597599983215332, -1.6550999879837036]","[2.7143571376800537, 2.808875560760498, -6.349539756774902, -3.638408660888672]"
2dm-496,"[0.6934999823570251, -2.2237000465393066, -1.5302000045776367]","[1.745969533920288, 1.784187912940979, -6.045182704925537, -4.280081272125244]"
2dm-497,"[2.7636003494262695, -5.116199970245361, -2.35260009765625]","[3.5925774574279785, 4.264222145080566, -7.711245059967041, -4.115549087524414]"
2dm-498,"[2.5820999145507812, -4.160999774932861, -1.5788999795913696]","[3.143491744995117, 3.041391611099243, -6.775968074798584, -3.640124797821045]"
2dm-499,"[3.8125996589660645, -5.978099822998047, -2.1654999256134033]","[5.157158851623535, 5.180081844329834, -8.990347862243652, -3.8442373275756836]"
2dm-500,"[0.0, nan, nan]","[0.11075711250305176, 0.3560980558395386, -4.849104404449463, -4.719446182250977]"
2dm-501,"[0.0, nan, nan]","[0.06894397735595703, 0.1544170379638672, -4.565179824829102, -4.463924407958984]"
2dm-502,"[0.5841000080108643, -3.5638999938964844, -2.97979998588562]","[1.6750229597091675, 1.8721438646316528, -5.5400471687316895, -3.852386713027954]"
2dm-503,"[1.8935999870300293, -5.021200180053711, -3.1275999546051025]","[3.191351890563965, 3.2266321182250977, -7.596918106079102, -4.407153129577637]"
2dm-504,"[0.9767000079154968, -3.216099977493286, -2.2393999099731445]","[1.8311392068862915, 2.079258680343628, -6.430286407470703, -4.600606918334961]"
2dm-505,"[0.19220000505447388, -1.329200029373169, -1.1369999647140503]","[0.11186134815216064, 0.23461174964904785, -4.451351165771484, -4.331457614898682]"
2dm-506,"[0.0, nan, nan]","[0.3380779027938843, 0.4307936429977417, -4.372547149658203, -4.016125202178955]"
2dm-507,"[0.0, nan, nan]","[0.050475358963012695, 0.055001258850097656, -4.368802070617676, -4.257125377655029]"
2dm-508,"[0.0, nan, nan]","[0.40062522888183594, 0.46149730682373047, -4.319087982177734, -3.8716773986816406]"
2dm-509,"[0.33410000801086426, -4.664299964904785, -4.3302001953125]","[0.7345156669616699, 0.7740908861160278, -6.83565092086792, -6.09375524520874]"
2dm-510,"[0.0, nan, nan]","[0.0030219554901123047, 0.004544496536254883, -4.715039253234863, -4.70191764831543]"
2dm-511,"[0.9914000034332275, -2.722399950027466, -1.7309999465942383]","[1.6032884120941162, 1.6066157817840576, -5.692707061767578, -4.086453914642334]"
2dm-512,"[0.0, nan, nan]","[0.01758110523223877, 0.03601884841918945, -4.370340824127197, -4.306971549987793]"
2dm-513,"[1.6663000583648682, -3.326200008392334, -1.6598999500274658]","[2.21392560005188, 2.331965446472168, -6.789350986480713, -4.577669620513916]"
2dm-514,"[0.0, nan, nan]","[0.0032358169555664062, 0.004224538803100586, -4.831128120422363, -4.828474044799805]"
2dm-515,"[7.293200492858887, -7.941100120544434, -0.6478999853134155]","[8.266314506530762, 8.330878257751465, -10.419820785522461, -2.1423544883728027]"
2dm-516,"[0.0, nan, nan]","[0.9351826906204224, 1.0160043239593506, -5.93755578994751, -4.980778217315674]"
2dm-517,"[4.1269001960754395, -6.154399871826172, -2.0274999141693115]","[4.544156551361084, 4.574617385864258, -7.50924825668335, -2.935500144958496]"
2dm-518,"[2.702899932861328, -5.761899948120117, -3.059000015258789]","[3.915445566177368, 4.605040550231934, -8.083333015441895, -4.167876243591309]"
2dm-519,"[6.302599906921387, -6.866000175476074, -0.5634000301361084]","[7.874673366546631, 7.899236679077148, -9.467116355895996, -1.5892488956451416]"
2dm-520,"[0.0, nan, nan]","[0.12695181369781494, 0.19292283058166504, -4.720728397369385, -4.5698771476745605]"
2dm-521,"[5.02869987487793, -6.520199775695801, -1.4915000200271606]","[5.800562858581543, 5.872148513793945, -8.85008430480957, -3.032839059829712]"
2dm-522,"[0.0, nan, nan]","[0.005549192428588867, 0.009992837905883789, -4.104479789733887, -4.093041896820068]"
2dm-523,"[1.555899977684021, -3.8513998985290527, -2.2955000400543213]","[2.1122419834136963, 2.2166054248809814, -5.883598327636719, -3.764138698577881]"
2dm-524,"[0.4071999788284302, -4.293300151824951, -3.8861000537872314]","[2.069859027862549, 2.2961502075195312, -7.376368999481201, -5.295020580291748]"
2dm-525,"[0.0, nan, nan]","[0.04098379611968994, 0.06759142875671387, -5.099973678588867, -5.0534162521362305]"
2dm-526,"[2.86899995803833, -5.21750020980835, -2.3485000133514404]","[3.8968236446380615, 3.980172634124756, -8.270800590515137, -4.375980854034424]"
2dm-527,"[0.0, nan, nan]","[0.04996013641357422, 0.10900449752807617, -4.297971725463867, -4.221464157104492]"
2dm-528,"[2.5048999786376953, -4.910900115966797, -2.4059998989105225]","[3.380547046661377, 3.5297415256500244, -7.403103828430176, -4.024777889251709]"
2dm-529,"[2.239799976348877, -5.509099960327148, -3.2692999839782715]","[3.1985225677490234, 3.430006504058838, -8.239109992980957, -5.039605140686035]"
2dm-530,"[0.0, nan, nan]","[0.13497281074523926, 0.38271403312683105, -4.181582927703857, -4.066786289215088]"
2dm-531,"[3.8505001068115234, -4.485499858856201, -0.6349999904632568]","[5.353821754455566, 5.463842391967773, -7.5136027336120605, -2.1568198204040527]"
2dm-532,"[0.0, nan, nan]","[0.0047910213470458984, -6.29425048828125e-05, -4.604159355163574, -4.538025379180908]"
2dm-533,"[1.8031001091003418, -4.746300220489502, -2.94320011138916]","[2.8911550045013428, 3.5526700019836426, -7.205166816711426, -4.31361722946167]"
2dm-534,"[0.004799962043762207, -2.175100088119507, -2.170300006866455]","[0.01698899269104004, 0.013423919677734375, -4.564173698425293, -4.495616912841797]"
2dm-535,"[1.8209999799728394, -3.777600049972534, -1.9565999507904053]","[2.608926773071289, 2.814408779144287, -6.1054816246032715, -3.4833359718322754]"
2dm-536,"[0.4587000012397766, -1.897900104522705, -1.4392000436782837]","[0.9970862865447998, 0.948535680770874, -4.632844924926758, -3.6331944465637207]"
2dm-537,"[0.0, nan, nan]","[0.1505812406539917, 0.2198566198348999, -4.774620056152344, -4.576661586761475]"
2dm-538,"[0.5472000241279602, -1.7125999927520752, -1.1654000282287598]","[0.7718813419342041, 1.4200254678726196, -3.644975423812866, -2.867654323577881]"
2dm-539,"[0.0, nan, nan]","[0.03170669078826904, 0.02753162384033203, -4.486690521240234, -4.4289045333862305]"
2dm-540,"[0.0, nan, nan]","[0.03846287727355957, 0.037680625915527344, -4.742815017700195, -4.666293621063232]"
2dm-541,"[0.0, nan, nan]","[0.09707427024841309, 0.11930346488952637, -4.495736122131348, -4.349961280822754]"
2dm-542,"[0.8009999990463257, -3.750499963760376, -2.94950008392334]","[1.3872883319854736, 1.4759974479675293, -6.663092136383057, -5.269904136657715]"
2dm-543,"[1.1288000345230103, -3.71370005607605, -2.58489990234375]","[1.6894145011901855, 1.9571980237960815, -5.481803894042969, -3.804941177368164]"
2dm-544,"[0.0885000228881836, -4.349299907684326, -4.260799884796143]","[1.3305273056030273, 1.5969963073730469, -7.074517726898193, -5.735175132751465]"
2dm-545,"[1.936500072479248, -3.557300090789795, -1.6208000183105469]","[2.543638229370117, 2.9132230281829834, -6.384097576141357, -3.838008403778076]"
2dm-546,"[0.6802999973297119, -3.078900098800659, -2.3986001014709473]","[0.8408405780792236, 0.9491573572158813, -6.2061262130737305, -5.35654354095459]"
2dm-547,"[0.6859999895095825, -2.14520001411438, -1.4592000246047974]","[1.8531380891799927, 2.1015841960906982, -5.653933048248291, -3.7828283309936523]"
2dm-548,"[1.875499963760376, -4.021699905395508, -2.146199941635132]","[3.2283928394317627, 3.4538652896881104, -6.907486915588379, -3.688084602355957]"
2dm-549,"[0.0, nan, nan]","[0.14990925788879395, 0.24651479721069336, -5.56041955947876, -5.3554182052612305]"
2dm-550,"[0.0, nan, nan]","[0.04201555252075195, 0.02971649169921875, -4.190064907073975, -4.176159858703613]"
2dm-551,"[0.0, nan, nan]","[0.1963791847229004, 0.2819615602493286, -4.962624549865723, -4.7648210525512695]"
2dm-552,"[2.6459999084472656, -3.865499973297119, -1.219499945640564]","[3.342080593109131, 3.3756160736083984, -6.491756439208984, -3.151904821395874]"
2dm-553,"[7.107900142669678, -7.9558000564575195, -0.8478999137878418]","[8.486608505249023, 8.486343383789062, -10.775531768798828, -2.2742552757263184]"
2dm-554,"[0.0, nan, nan]","[0.10467469692230225, 0.1962265968322754, -5.346007347106934, -5.211138725280762]"
2dm-555,"[0.4607999920845032, -2.483599901199341, -2.0227999687194824]","[1.628118634223938, 1.7041531801223755, -5.289578914642334, -3.664424180984497]"
2dm-556,"[1.2857999801635742, -6.046899795532227, -4.761099815368652]","[1.001465916633606, 1.2286802530288696, -6.094032287597656, -5.05363655090332]"
2dm-557,"[0.9340000152587891, -4.017399787902832, -3.083400011062622]","[1.920186161994934, 2.2419724464416504, -6.4629316329956055, -4.5317301750183105]"
2dm-558,"[0.0, nan, nan]","[0.13112854957580566, 0.288413405418396, -4.849094390869141, -4.735401153564453]"
2dm-559,"[0.0, nan, nan]","[0.03250110149383545, 0.0431818962097168, -4.386392593383789, -4.362961769104004]"
2dm-560,"[0.0, nan, nan]","[0.4127802848815918, 0.5442072153091431, -4.614860534667969, -4.144652843475342]"
2dm-561,"[0.0, nan, nan]","[0.433956503868103, 0.6287891864776611, -5.728958606719971, -5.2627339363098145]"
2dm-562,"[3.0760998725891113, -5.566199779510498, -2.4900999069213867]","[3.7806196212768555, 3.798680067062378, -7.881909370422363, -4.104530334472656]"
2dm-563,"[2.515399932861328, -4.746099948883057, -2.2307000160217285]","[3.258540153503418, 3.2660441398620605, -6.707673072814941, -3.462606906890869]"
2dm-564,"[0.0, nan, nan]","[0.014970541000366211, 0.012303352355957031, -4.223753452301025, -4.221857070922852]"
2dm-565,"[0.48000001907348633, -1.2635998725891113, -0.7835999727249146]","[1.2480199337005615, 1.1958625316619873, -5.415891170501709, -4.127991676330566]"
2dm-566,"[0.0, nan, nan]","[0.008455157279968262, 0.02060389518737793, -3.8906164169311523, -3.893625259399414]"
2dm-567,"[1.0219999551773071, -1.8531999588012695, -0.8312000036239624]","[1.5705299377441406, 1.6705313920974731, -5.081997394561768, -3.4931750297546387]"
2dm-6378,"[0.6541999578475952, -1.6096000671386719, -0.9553999900817871]","[0.7284501791000366, 0.7909830808639526, -3.930694818496704, -3.2184314727783203]"
2dm-6379,"[1.8115999698638916, -3.2021000385284424, -1.3904999494552612]","[2.1563706398010254, 2.4216153621673584, -5.3608903884887695, -3.213131904602051]"
2dm-570,"[1.6538000106811523, -6.630300045013428, -4.976500034332275]","[4.465350151062012, 4.572282791137695, -9.07160758972168, -4.606161117553711]"
2dm-571,"[0.0, nan, nan]","[0.0061795711517333984, 0.006300687789916992, -4.654653072357178, -4.619027137756348]"
2dm-572,"[1.6450999975204468, -3.5246999263763428, -1.8796000480651855]","[2.2718305587768555, 2.380269765853882, -6.035994052886963, -3.767207622528076]"
2dm-573,"[0.47930002212524414, -2.5467000007629395, -2.0673999786376953]","[1.5636191368103027, 1.7377393245697021, -5.129003524780273, -3.571259021759033]"
2dm-574,"[1.3300000429153442, -4.1834001541137695, -2.8533999919891357]","[2.5034830570220947, 2.7669897079467773, -6.569118022918701, -4.071516036987305]"
2dm-575,"[0.0, nan, nan]","[0.04935503005981445, 0.038115739822387695, -4.386353492736816, -4.269527435302734]"
2dm-576,"[0.8100000023841858, -3.1191999912261963, -2.3092000484466553]","[2.0137696266174316, 2.054572582244873, -5.599195957183838, -3.5864439010620117]"
2dm-577,"[0.022500038146972656, -3.5004000663757324, -3.4779000282287598]","[0.5219486951828003, 0.5467993021011353, -5.724778175354004, -5.1744585037231445]"
2dm-578,"[4.156300067901611, -5.126100063323975, -0.9697999954223633]","[4.724536895751953, 4.769803524017334, -7.268900394439697, -2.554920196533203]"
2dm-579,"[1.6842000484466553, -3.8610999584198, -2.1768999099731445]","[2.0032622814178467, 2.3978991508483887, -6.278240203857422, -4.261326313018799]"
2dm-580,"[0.0, nan, nan]","[0.012403130531311035, 0.002965211868286133, -4.572113513946533, -4.530391216278076]"
2dm-581,"[0.0, nan, nan]","[0.07790017127990723, 0.10816478729248047, -4.312152862548828, -4.2067060470581055]"
2dm-582,"[3.3406996726989746, -2.967400074005127, 0.37330007553100586]","[6.938427448272705, 7.089849472045898, -7.922441005706787, -0.9502067565917969]"
2dm-583,"[0.25609999895095825, -2.4096999168395996, -2.153599977493286]","[0.7618238925933838, 0.7879788875579834, -4.193234443664551, -3.4423134326934814]"
2dm-584,"[1.9635000228881836, -3.6928999423980713, -1.7294000387191772]","[3.1613683700561523, 3.245515823364258, -6.581675052642822, -3.4084038734436035]"
2dm-585,"[0.29270005226135254, -2.717600107192993, -2.4249000549316406]","[0.9425884485244751, 1.0978096723556519, -5.497191905975342, -4.513174057006836]"
2dm-6380,"[0.0, nan, nan]","[0.5015230178833008, 0.7646418809890747, -6.344128131866455, -5.716114044189453]"
2dm-587,"[0.7645999789237976, -2.065700054168701, -1.3011000156402588]","[1.4533182382583618, 1.472905158996582, -5.15770149230957, -3.694678783416748]"
2dm-588,"[0.0, nan, nan]","[0.048998475074768066, 0.06710696220397949, -4.248263359069824, -4.226332187652588]"
2dm-589,"[1.2236000299453735, -3.119800090789795, -1.8961999416351318]","[1.9321454763412476, 2.1089634895324707, -5.743494033813477, -3.8039052486419678]"
2dm-590,"[0.0, nan, nan]","[0.11605358123779297, 0.25416040420532227, -4.897454738616943, -4.744256973266602]"
2dm-591,"[2.4296998977661133, -4.792399883270264, -2.3626999855041504]","[3.6539835929870605, 3.9344305992126465, -7.13442325592041, -3.4870495796203613]"
2dm-592,"[0.0, nan, nan]","[1.272693395614624, 1.5021588802337646, -6.064798831939697, -4.701442241668701]"
2dm-593,"[2.68179988861084, -5.2434000968933105, -2.5615999698638916]","[3.5348286628723145, 3.5941061973571777, -7.2066330909729, -3.684885263442993]"
2dm-594,"[0.8607000112533569, -2.196899890899658, -1.3361999988555908]","[1.4009335041046143, 1.3869882822036743, -5.486395359039307, -4.083967208862305]"
2dm-595,"[4.66510009765625, -8.005499839782715, -3.340399980545044]","[6.67207670211792, 6.720977783203125, -10.878983497619629, -4.206885814666748]"
2dm-596,"[0.0, nan, nan]","[0.11078011989593506, 0.12559270858764648, -4.599730014801025, -4.4159770011901855]"
2dm-597,"[0.0, nan, nan]","[0.035900235176086426, 0.05008578300476074, -4.985260009765625, -4.951367378234863]"
2dm-598,"[1.3841999769210815, -3.3187999725341797, -1.9345999956130981]","[2.1279287338256836, 2.128735303878784, -6.187646865844727, -4.067485809326172]"
2dm-599,"[0.0, nan, nan]","[0.20712709426879883, 0.23553466796875, -4.409821033477783, -4.15553092956543]"
2dm-600,"[1.0821000337600708, -3.905100107192993, -2.822999954223633]","[1.7618905305862427, 1.8688079118728638, -5.667037487030029, -3.8950653076171875]"
2dm-601,"[0.2644999623298645, -2.9498000144958496, -2.68530011177063]","[1.7630040645599365, 1.9084491729736328, -6.54728889465332, -4.777219772338867]"
2dm-602,"[0.0, nan, nan]","[0.001474618911743164, 0.0005469322204589844, -4.571161270141602, -4.569852828979492]"
2dm-604,"[0.0, nan, nan]","[0.1472015380859375, 0.23710083961486816, -5.300657272338867, -5.078925132751465]"
2dm-605,"[1.3940999507904053, -5.874199867248535, -4.480100154876709]","[2.394211530685425, 2.7520129680633545, -8.308664321899414, -5.8928422927856445]"
2dm-606,"[4.973899841308594, -5.802800178527832, -0.8288999795913696]","[6.001323223114014, 6.077932357788086, -8.062470436096191, -2.053201198577881]"
2dm-607,"[0.0, nan, nan]","[0.09623432159423828, 0.1850963830947876, -4.166772842407227, -4.050318241119385]"
2dm-608,"[3.2553000450134277, -5.997200012207031, -2.7418999671936035]","[4.625676155090332, 4.6284942626953125, -8.862046241760254, -4.236933708190918]"
2dm-609,"[1.0976999998092651, -2.989300012588501, -1.8916000127792358]","[1.9153691530227661, 2.3115501403808594, -6.142786502838135, -4.228188514709473]"
2dm-610,"[1.0777000188827515, -5.008399963378906, -3.9307003021240234]","[2.341259717941284, 2.566023349761963, -8.003235816955566, -5.660679817199707]"
2dm-611,"[1.9031000137329102, -2.7525999546051025, -0.8494999408721924]","[3.1256744861602783, 3.3756422996520996, -6.8755388259887695, -3.7437639236450195]"
2dm-612,"[0.0, nan, nan]","[0.07459020614624023, 0.08663153648376465, -4.460790634155273, -4.335179805755615]"
2dm-6381,"[0.0, nan, nan]","[0.011329889297485352, 0.005872011184692383, -4.680280685424805, -4.6263837814331055]"
2dm-614,"[0.0, nan, nan]","[0.10354280471801758, 0.11031246185302734, -4.696086883544922, -4.51442289352417]"
2dm-615,"[0.021700024604797363, -3.0546000003814697, -3.032900094985962]","[0.07280325889587402, 0.09043478965759277, -5.650204658508301, -5.58708381652832]"
2dm-616,"[0.0, nan, nan]","[0.003208160400390625, 0.012809514999389648, -4.584968566894531, -4.542624473571777]"
2dm-617,"[1.2304999828338623, -1.4056999683380127, -0.1751999855041504]","[2.2159972190856934, 2.6337757110595703, -5.482542991638184, -3.259349822998047]"
2dm-618,"[4.870200157165527, -5.6930999755859375, -0.8229000568389893]","[6.102581024169922, 6.213198661804199, -8.30881118774414, -2.1982316970825195]"
2dm-619,"[1.1751999855041504, -2.892899990081787, -1.7177000045776367]","[2.544215202331543, 2.54312801361084, -5.660222053527832, -3.116936445236206]"
2dm-620,"[1.7831000089645386, -4.430300235748291, -2.647200107574463]","[2.7622013092041016, 2.8005034923553467, -6.995368957519531, -4.23534631729126]"
2dm-621,"[0.0, nan, nan]","[0.06953394412994385, 0.057105302810668945, -5.044205665588379, -4.928754806518555]"
2dm-622,"[0.06440001726150513, -3.445499897003174, -3.3810999393463135]","[0.22822093963623047, 0.39895951747894287, -5.329526901245117, -5.059401988983154]"
2dm-623,"[0.0, nan, nan]","[0.03480076789855957, 0.032167673110961914, -4.839839935302734, -4.727109909057617]"
2dm-624,"[0.0, nan, nan]","[0.08793067932128906, 0.14354538917541504, -5.16706657409668, -5.048402786254883]"
2dm-625,"[1.1043000221252441, -2.5422000885009766, -1.4378999471664429]","[0.9512757062911987, 1.3722748756408691, -6.8202972412109375, -5.866981506347656]"
2dm-626,"[0.0, nan, nan]","[0.15227735042572021, 0.24801838397979736, -4.218451499938965, -4.072007656097412]"
2dm-627,"[0.0, nan, nan]","[0.020684242248535156, 0.036110639572143555, -4.38442850112915, -4.316343307495117]"
2dm-628,"[0.6011000275611877, -4.093100070953369, -3.492000102996826]","[1.7684403657913208, 1.8272018432617188, -6.621034622192383, -4.8379950523376465]"
2dm-629,"[0.7440000176429749, -2.5432000160217285, -1.7992000579833984]","[1.0761975049972534, 1.2045698165893555, -4.502702713012695, -3.4058806896209717]"
2dm-630,"[0.4052000045776367, -2.3568999767303467, -1.95169997215271]","[1.3506336212158203, 1.4574477672576904, -5.622810363769531, -4.282541751861572]"
2dm-631,"[0.0, nan, nan]","[0.07489991188049316, 0.16158580780029297, -4.230660438537598, -4.166273593902588]"
2dm-632,"[0.004999995231628418, -2.1552000045776367, -2.1501998901367188]","[0.2015993595123291, 0.24403750896453857, -4.563301086425781, -4.313014030456543]"
2dm-633,"[0.0, nan, nan]","[0.03987526893615723, 0.11832618713378906, -4.604724407196045, -4.540172100067139]"
2dm-634,"[0.0997999906539917, -5.146599769592285, -5.046800136566162]","[2.5838537216186523, 2.899038791656494, -6.7719035148620605, -4.174319267272949]"
2dm-635,"[0.0, nan, nan]","[0.054170846939086914, 0.0830986499786377, -4.857732772827148, -4.799619674682617]"
2dm-636,"[0.0, nan, nan]","[0.8716543912887573, 0.9056483507156372, -5.838834285736084, -4.9566826820373535]"
2dm-637,"[1.2710000276565552, -2.484100103378296, -1.2130999565124512]","[2.340754985809326, 2.37669038772583, -5.004350662231445, -2.6743454933166504]"
2dm-638,"[0.0, nan, nan]","[0.05911898612976074, 0.07975625991821289, -4.6970343589782715, -4.576174259185791]"
2dm-6382,"[0.0, nan, nan]","[0.08036661148071289, 0.08112430572509766, -5.016228675842285, -4.8603363037109375]"
2dm-640,"[0.0, nan, nan]","[0.01587808132171631, 0.016526222229003906, -4.506494522094727, -4.479499816894531]"
2dm-641,"[2.8268001079559326, -5.156799793243408, -2.3299999237060547]","[3.8135147094726562, 4.028417110443115, -7.946933269500732, -4.139456272125244]"
2dm-642,"[0.0, nan, nan]","[0.10067939758300781, 0.25807487964630127, -4.678025722503662, -4.548415660858154]"
2dm-643,"[1.1931999921798706, -3.564300060272217, -2.3710999488830566]","[1.4514503479003906, 1.5919897556304932, -6.790403366088867, -5.335375785827637]"
2dm-644,"[0.0, nan, nan]","[0.023994088172912598, 0.03072500228881836, -4.949875831604004, -4.917468070983887]"
2dm-645,"[0.5004000067710876, -2.375999927520752, -1.875599980354309]","[1.4161326885223389, 1.4413642883300781, -5.440807342529297, -4.01909065246582]"
2dm-646,"[2.4310998916625977, -4.759399890899658, -2.3282999992370605]","[3.3022289276123047, 4.133784294128418, -7.18560266494751, -3.8893635272979736]"
2dm-647,"[0.0, nan, nan]","[1.4919830560684204, 1.8253071308135986, -6.99868631362915, -5.435528755187988]"
2dm-648,"[0.0, nan, nan]","[0.02835536003112793, 0.02912449836730957, -4.413243293762207, -4.367580413818359]"
2dm-649,"[0.3960000276565552, -5.344699859619141, -4.948699951171875]","[1.743181586265564, 1.756884217262268, -7.867842674255371, -6.104408264160156]"
2dm-650,"[0.0, nan, nan]","[0.004331827163696289, 0.014243841171264648, -4.641088485717773, -4.644618511199951]"
2dm-651,"[3.1447997093200684, -5.2891998291015625, -2.144399881362915]","[4.660778045654297, 4.74208927154541, -8.37307357788086, -3.7119555473327637]"
2dm-652,"[0.8579999804496765, -2.197700023651123, -1.3396999835968018]","[1.3371249437332153, 1.4223709106445312, -4.3498311042785645, -3.021911144256592]"
2dm-653,"[0.9492999911308289, -2.434000015258789, -1.4846999645233154]","[1.591473937034607, 1.9044636487960815, -6.255177974700928, -4.66286039352417]"
2dm-654,"[0.078000009059906, -3.921799898147583, -3.8438000679016113]","[0.567418098449707, 0.657191276550293, -6.204242706298828, -5.618756294250488]"
2dm-6383,"[1.0096999406814575, -2.3968000411987305, -1.3870999813079834]","[1.324312448501587, 1.4326493740081787, -4.640511989593506, -3.3092455863952637]"
2dm-656,"[2.437000036239624, -4.711900234222412, -2.274899959564209]","[3.19920015335083, 4.0175676345825195, -7.414172172546387, -4.215649127960205]"
2dm-657,"[0.6773999929428101, -3.044300079345703, -2.3668999671936035]","[2.2029976844787598, 2.4701852798461914, -6.505410671234131, -4.285239219665527]"
2dm-658,"[0.1298999786376953, -0.690000057220459, -0.5601000785827637]","[0.13809967041015625, 0.19639980792999268, -4.095259666442871, -3.9136366844177246]"
2dm-659,"[1.0078999996185303, -2.274399995803833, -1.2664999961853027]","[0.8449066877365112, 0.8706488609313965, -5.431629180908203, -4.579280376434326]"
2dm-660,"[0.0, nan, nan]","[0.07872354984283447, 0.06608963012695312, -3.870898723602295, -3.747375965118408]"
2dm-661,"[2.647000312805176, -5.214900016784668, -2.5678999423980713]","[4.073576927185059, 4.145594120025635, -8.261381149291992, -4.183019161224365]"
2dm-662,"[0.025699973106384277, -0.2892000675201416, -0.2634999752044678]","[0.15234196186065674, 0.1924968957901001, -3.1555941104888916, -2.940589427947998]"
2dm-663,"[0.0, nan, nan]","[0.7417770624160767, 0.8983206748962402, -5.633448600769043, -4.896439075469971]"
2dm-664,"[0.0, nan, nan]","[0.07508218288421631, 0.19570815563201904, -5.224814414978027, -5.1475934982299805]"
2dm-665,"[0.7799999713897705, -3.38700008392334, -2.6070001125335693]","[1.4559862613677979, 1.5883681774139404, -6.694655895233154, -5.231360912322998]"
2dm-666,"[1.3594000339508057, -5.813199996948242, -4.453800201416016]","[2.992070198059082, 3.563349723815918, -8.705389976501465, -5.716430187225342]"
2dm-667,"[0.7903000116348267, -4.413400173187256, -3.6231000423431396]","[3.032078981399536, 3.0751445293426514, -6.813473701477051, -3.7752156257629395]"
2dm-668,"[0.0, nan, nan]","[0.015420079231262207, 0.017809152603149414, -4.322066783905029, -4.319506645202637]"
2dm-669,"[0.5304999947547913, -1.1775999069213867, -0.6470999717712402]","[0.6939998865127563, 1.1005054712295532, -3.5462746620178223, -2.846653938293457]"
2dm-670,"[0.0, nan, nan]","[0.6128755807876587, 0.7614870071411133, -5.507559776306152, -4.886367321014404]"
2dm-671,"[0.920799970626831, -2.3812999725341797, -1.4605000019073486]","[1.5074400901794434, 1.5198752880096436, -5.407315254211426, -3.8833203315734863]"
2dm-672,"[0.6116999983787537, -3.5739998817443848, -2.9623000621795654]","[1.7114973068237305, 1.8610930442810059, -5.380468368530273, -3.6730692386627197]"
2dm-673,"[0.1926000714302063, -4.093200206756592, -3.900599956512451]","[1.0616375207901, 1.1706607341766357, -6.633457660675049, -5.521660327911377]"
2dm-674,"[2.3385000228881836, -4.162399768829346, -1.8238999843597412]","[4.81671142578125, 4.837389945983887, -7.483233451843262, -2.6790218353271484]"
2dm-675,"[0.0, nan, nan]","[1.233790636062622, 1.2489482164382935, -5.928606986999512, -4.649326801300049]"
2dm-676,"[0.0, nan, nan]","[0.04829835891723633, 0.046784400939941406, -4.051506996154785, -3.9543044567108154]"
2dm-677,"[0.0, nan, nan]","[0.10586917400360107, 0.08764791488647461, -3.7984654903411865, -3.6426775455474854]"
2dm-678,"[0.09630000591278076, -3.7100000381469727, -3.6136999130249023]","[0.4196455478668213, 0.9166407585144043, -6.3197407722473145, -5.9142231941223145]"
2dm-679,"[0.010400056838989258, -1.5413999557495117, -1.531000018119812]","[0.8924866914749146, 1.079227328300476, -5.483606338500977, -4.548629283905029]"
2dm-680,"[1.3215999603271484, -4.979700088500977, -3.658099889755249]","[2.5033435821533203, 2.5387020111083984, -7.603250503540039, -5.102764129638672]"
2dm-681,"[0.0010999441146850586, -2.3710999488830566, -2.369999885559082]","[0.09879887104034424, 0.18626070022583008, -4.724486827850342, -4.616593360900879]"
2dm-682,"[0.4731000065803528, -2.7218000888824463, -2.248699903488159]","[1.638978362083435, 1.7283921241760254, -5.341774940490723, -3.719529151916504]"
2dm-683,"[0.0, nan, nan]","[0.033216238021850586, 0.021033525466918945, -4.355445861816406, -4.292476177215576]"
2dm-684,"[0.0, nan, nan]","[-0.0015931129455566406, -0.003914833068847656, -4.482699394226074, -4.487504005432129]"
2dm-685,"[0.0, nan, nan]","[0.011822938919067383, 0.012206554412841797, -4.451608180999756, -4.416226387023926]"
2dm-686,"[1.8831000328063965, -3.2565999031066895, -1.373499870300293]","[2.9379422664642334, 3.0198943614959717, -6.452741622924805, -3.508525848388672]"
2dm-687,"[0.0, nan, nan]","[0.8279623985290527, 1.0516611337661743, -4.655726432800293, -3.7849795818328857]"
2dm-688,"[0.621399998664856, -2.8838999271392822, -2.262500047683716]","[1.798444151878357, 1.9162633419036865, -5.497799396514893, -3.7050180435180664]"
2dm-689,"[1.11489999294281, -3.2923998832702637, -2.177500009536743]","[1.1694921255111694, 1.266765832901001, -6.308420181274414, -5.130373001098633]"
2dm-690,"[6.483799934387207, -7.651299953460693, -1.1675000190734863]","[8.109505653381348, 8.101263046264648, -10.053068161010742, -1.9512979984283447]"
2dm-691,"[1.6944999694824219, -6.359600067138672, -4.66510009765625]","[3.410637855529785, 3.5913572311401367, -8.817218780517578, -5.416303634643555]"
2dm-6384,"[0.6513999700546265, -0.6533000469207764, -0.0018999576568603516]","[0.8667361736297607, 0.9871975183486938, -4.384504318237305, -3.530118703842163]"
