2dmatpedia id,"2dmatpedia band structure (BG, VBM, CBM)","preds band structure (BG, Direc BG, VBM, CBM)"
2dm-46,"[0.0, nan, nan]","[0.18757939338684082, 0.1771690845489502, -4.361663341522217, -4.07442045211792]"
2dm-47,"[0.0, nan, nan]","[0.05329084396362305, 0.0747215747833252, -4.243535041809082, -4.153911590576172]"
2dm-48,"[2.137700080871582, -4.409299850463867, -2.2716000080108643]","[3.1847891807556152, 3.4723756313323975, -6.66245174407959, -3.4788360595703125]"
2dm-49,"[0.0, nan, nan]","[0.03860759735107422, 0.1331937313079834, -5.24186897277832, -5.17365026473999]"
2dm-50,"[0.0, nan, nan]","[0.05899167060852051, 0.07774567604064941, -3.6794211864471436, -3.5626461505889893]"
2dm-51,"[0.0, nan, nan]","[0.07632291316986084, 0.0801398754119873, -4.830390930175781, -4.721750736236572]"
2dm-52,"[2.1468000411987305, -4.328700065612793, -2.1819000244140625]","[3.514451265335083, 3.6717982292175293, -7.141845226287842, -3.6192710399627686]"
2dm-53,"[0.0, nan, nan]","[0.044068336486816406, 0.07415008544921875, -4.3395490646362305, -4.2504777908325195]"
2dm-54,"[3.614799976348877, -4.787799835205078, -1.1730000972747803]","[4.696001052856445, 4.654712677001953, -8.05264663696289, -3.295159101486206]"
2dm-55,"[0.0, nan, nan]","[0.17965054512023926, 0.3547405004501343, -5.09283447265625, -4.874420166015625]"
2dm-56,"[7.262199878692627, -8.048700332641602, -0.7864999771118164]","[8.418561935424805, 8.60372543334961, -10.367006301879883, -1.9226953983306885]"
2dm-57,"[1.7839000225067139, -2.2560997009277344, -0.4722001552581787]","[2.2677078247070312, 2.6951520442962646, -5.6859540939331055, -3.416778564453125]"
2dm-58,"[0.0, nan, nan]","[-0.005291461944580078, 0.027716875076293945, -4.996458530426025, -4.973518371582031]"
2dm-59,"[0.79339998960495, -3.266700029373169, -2.473299980163574]","[1.1143081188201904, 1.2449009418487549, -6.721550941467285, -5.605502128601074]"
2dm-60,"[0.0, nan, nan]","[0.028423070907592773, 0.06506490707397461, -4.322916030883789, -4.328210830688477]"
2dm-6369,"[2.2646000385284424, -4.340199947357178, -2.0755999088287354]","[2.936251401901245, 3.1598048210144043, -6.230066299438477, -3.2907097339630127]"
2dm-62,"[1.9701000452041626, -4.841000080108643, -2.8708999156951904]","[3.0237536430358887, 3.0584475994110107, -6.488024711608887, -3.476052761077881]"
2dm-63,"[0.0, nan, nan]","[0.13256168365478516, 0.20067346096038818, -5.070291519165039, -4.910589694976807]"
2dm-64,"[0.0, nan, nan]","[0.1326141357421875, 0.12807726860046387, -4.619659423828125, -4.425495147705078]"
2dm-65,"[1.326300024986267, -4.875699996948242, -3.5494000911712646]","[2.396667718887329, 3.0387797355651855, -6.7756147384643555, -4.384274005889893]"
2dm-66,"[2.350100040435791, -4.642399787902832, -2.29229998588562]","[3.132439136505127, 3.6840102672576904, -7.127385139465332, -3.9940249919891357]"
2dm-67,"[0.0, nan, nan]","[0.037880897521972656, 0.0776834487915039, -4.916998863220215, -4.910847187042236]"
2dm-68,"[1.8341000080108643, -4.003300189971924, -2.1691999435424805]","[2.8244736194610596, 3.2773971557617188, -6.766054630279541, -3.9526689052581787]"
2dm-69,"[1.223099946975708, -4.921199798583984, -3.6981000900268555]","[2.4439382553100586, 2.5722579956054688, -6.9399871826171875, -4.493179798126221]"
2dm-70,"[0.10350000858306885, -2.8229000568389893, -2.719399929046631]","[0.26810991764068604, 0.34708142280578613, -5.223566055297852, -4.93593692779541]"
2dm-71,"[1.0867999792099, -4.013599872589111, -2.926800012588501]","[1.5975115299224854, 1.9069429636001587, -6.678813934326172, -5.075735569000244]"
2dm-72,"[0.0, nan, nan]","[0.07923281192779541, 0.12490296363830566, -4.444660186767578, -4.3485589027404785]"
2dm-73,"[0.0, nan, nan]","[0.02488875389099121, 0.025621414184570312, -4.632725715637207, -4.575741291046143]"
2dm-74,"[0.4677000045776367, -3.6326000690460205, -3.164900064468384]","[1.8479018211364746, 2.0652225017547607, -6.499200344085693, -4.6500420570373535]"
2dm-75,"[1.2639000415802002, -3.0109000205993652, -1.746999979019165]","[4.360965728759766, 4.756390571594238, -6.655701637268066, -2.281740188598633]"
2dm-76,"[0.13249999284744263, -2.8257999420166016, -2.6933000087738037]","[1.5539528131484985, 1.705937147140503, -6.340220928192139, -4.800415992736816]"
2dm-77,"[2.109800100326538, -5.225900173187256, -3.1161000728607178]","[2.6254429817199707, 3.1148014068603516, -6.268314361572266, -3.6602580547332764]"
2dm-6370,"[0.0, nan, nan]","[0.033631324768066406, 0.057073116302490234, -4.32669734954834, -4.245946407318115]"
2dm-79,"[0.7263000011444092, -3.7990000247955322, -3.072700023651123]","[2.6736629009246826, 2.9274768829345703, -7.350085258483887, -4.671633243560791]"
2dm-80,"[0.0, nan, nan]","[0.1115574836730957, 0.09466838836669922, -3.6747615337371826, -3.5186407566070557]"
2dm-81,"[0.0, nan, nan]","[0.13044631481170654, 0.15351414680480957, -4.725908279418945, -4.538936138153076]"
2dm-82,"[0.0, nan, nan]","[0.02042698860168457, 0.021292686462402344, -4.308149337768555, -4.3004655838012695]"
2dm-83,"[1.4729000329971313, -2.694499969482422, -1.22160005569458]","[2.522752523422241, 2.7123498916625977, -5.870327949523926, -3.339291572570801]"
2dm-85,"[2.312700033187866, -6.558899879455566, -4.246200084686279]","[5.586812496185303, 5.555556297302246, -8.884648323059082, -3.2896828651428223]"
2dm-86,"[1.2411999702453613, -2.9684998989105225, -1.7273000478744507]","[1.922579288482666, 1.96437668800354, -6.011751174926758, -4.095037460327148]"
2dm-87,"[0.994700014591217, -2.9166998863220215, -1.9220000505447388]","[1.7506030797958374, 2.0697457790374756, -5.511613368988037, -3.755988597869873]"
